time,volt,curr,res,rj,smrj,smcurr,rate,pow
92572,0.5955,0.001729075,344.40380899999997,0.0,0.09838595302224515,0.0017282378023768805,3.7073138006805746e-06,2.938597451178865e-07
92671,0.5955,0.001729095,344.399811,-0.0039979999999673055,0.09735353819988701,0.001728529647179471,3.7179976902846333e-06,2.908743365394956e-07
92760,0.5955,0.00172913,344.392822,-0.010986999999943237,0.0964263581209097,0.0017287920241460778,3.7276725254646713e-06,2.881915646614292e-07
92850,0.5955,0.0017291560000000001,344.38766499999997,-0.01614399999999705,0.09548971327071978,0.0017290573608002152,3.737523586105907e-06,2.8547980497681196e-07
92946,0.5955,0.0017290089999999999,344.416962,0.013153000000045267,0.09449172605572793,0.0017293404000885363,3.748106221321388e-06,2.8258867752277064e-07
93038,0.596,0.001729968,344.51504500000004,0.11123600000007627,0.0935364341126675,0.0017296116595533534,3.758320403556308e-06,2.798195267889938e-07
93130,0.596,0.001729882,344.532196,0.128387000000032,0.09258227445737668,0.0017298829325471353,3.768605533600955e-06,2.770519897284662e-07
93219,0.596,0.0017299729999999999,344.514069,0.11026000000003933,0.09166032895159337,0.0017301453728894715,3.77862279422702e-06,2.743763047032757e-07
93315,0.596,0.001730068,344.495148,0.09133900000000494,0.09066710089340266,0.0017304284696224046,3.7895023641319842e-06,2.714919973298506e-07
93405,0.596,0.001729927,344.523224,0.11941500000006045,0.08973710823054278,0.0017306938876148282,3.799772120791165e-06,2.687896798690675e-07
93497,0.5965,0.001731959,344.407715,0.003906000000029053,0.08878759713568916,0.0017309652193226086,3.8103402709028765e-06,2.6602900247131887e-07
93601,0.5965,0.0017317570000000002,344.447906,0.044097000000022035,0.08771561664559288,0.0017312719619776084,3.822372307805713e-06,2.629102463876609e-07
93691,0.5965,0.001731814,344.436554,0.032745000000034,0.08678910575368871,0.0017315374301874252,3.832857824935402e-06,2.602129951341873e-07
93781,0.5965,0.001732075,344.384644,-0.019164999999986776,0.08586365713696109,0.00173180291569928,3.843411238716651e-06,2.575172436221157e-07
93870,0.5965,0.0017318479999999998,344.429779,0.02597000000002936,0.08494951676740499,0.001732065468949934,3.853914161576624e-06,2.548528647801799e-07
93968,0.597,0.001732807,344.527679,0.1238700000000108,0.0839440894478011,0.001732354593278361,3.865555984798805e-06,2.5192061419669915e-07
94057,0.597,0.0017327820000000002,344.532654,0.12884500000001253,0.08303201979580692,0.001732617184809435,3.876198414321975e-06,2.49258993875206e-07
94146,0.597,0.0017329720000000002,344.494904,0.09109500000005255,0.08212089621960132,0.0017328797953791635,3.886907240064527e-06,2.465985715084531e-07
94235,0.597,0.001732831,344.522919,0.11911000000003469,0.08121067731505681,0.0017331424251846683,3.897682462026461e-06,2.4393922481105627e-07
94331,0.597,0.001732786,344.53189100000003,0.1280820000000631,0.08022977231099554,0.0017334257327150013,3.909379608203823e-06,2.410715934124767e-07
94422,0.5975,0.0017346470000000002,344.45047,0.04666100000002871,0.0793006929053719,0.001733694304979656,3.920538848839976e-06,2.3835377095219342e-07
94517,0.5975,0.001734712,344.43756099999996,0.03375199999999268,0.07833138987339375,0.0017339747034453767,3.932262663192064e-06,2.3551650464875916e-07
94616,0.5975,0.0017347970000000002,344.420685,0.01687600000002476,0.07732176193044324,0.001734266930409036,3.944560607085119e-06,2.3255925501269275e-07
94705,0.5975,0.001735009,344.378601,-0.025207999999963704,0.07641437033624027,0.0017345296584716445,3.955686460767385e-06,2.29899750094373e-07
94794,0.5975,0.001734565,344.46673599999997,0.06292700000000195,0.0755070447489825,0.0017347924040522489,3.966878710669036e-06,2.2723880493445084e-07
94885,0.598,0.00173565,344.53949,0.1356810000000337,0.07457922407358138,0.0017350610716481871,3.978391122863229e-06,2.2451604979124544e-07
94980,0.598,0.001735543,344.56073,0.1569210000000112,0.07361037412873882,0.0017353415673258005,3.990483632797885e-06,2.2167104290796434e-07
95069,0.598,0.001735634,344.542664,0.13885500000003503,0.07270236638718121,0.0017356043640825254,4.001881039557176e-06,2.190029746982118e-07
95158,0.598,0.001735685,344.532562,0.12875300000001744,0.0717938892873273,0.001735867176002341,4.013344842535849e-06,2.1633184941306384e-07
95255,0.598,0.001735716,344.526398,0.12258900000000494,0.07080304214894949,0.0017361536274620496,4.0259147164671635e-06,2.1341661253985196e-07
95345,0.5985,0.001737555,344.449524,0.045715000000029704,0.06988284993826337,0.0017364194209149204,4.037648023171053e-06,2.107074430827057e-07
95442,0.5985,0.0017376370000000002,344.433289,0.029480000000035034,0.06888993355053141,0.0017367059005572005,4.050369943690345e-06,2.0778219293333934e-07
95531,0.5985,0.001737566,344.447357,0.043548000000043885,0.0679776191896841,0.0017369687637201542,4.0621120139704735e-06,2.0509258879903554e-07
95627,0.5985,0.00173759,344.442596,0.03878700000001345,0.06699187282159398,0.0017372523111190612,4.074852052715777e-06,2.0218452650176316e-07
95716,0.5985,0.0017377620000000001,344.408508,0.00469900000001644,0.06607614652994559,0.0017375151901404214,4.086732137609227e-06,1.9948117962857142e-07
95807,0.599,0.0017387260000000001,344.505096,0.10128700000001345,0.06513764269257977,0.0017377839811895698,4.098947841761331e-06,1.967087219697119e-07
95910,0.599,0.001738537,344.54254199999997,0.138733000000002,0.0640721800385759,0.0017380882193646814,4.112858155585317e-06,1.9355889446588605e-07
96002,0.599,0.001738485,344.552856,0.14904700000005278,0.06311708057195212,0.001738359964330825,4.125358091168412e-06,1.9073321326984333e-07
96091,0.599,0.001738393,344.571106,0.16729700000001912,0.06218947324995756,0.0017386228426487995,4.137517935413194e-06,1.8798692363570422e-07
96180,0.599,0.001738464,344.55703700000004,0.15322800000006964,0.061257638878232795,0.0017388857113414256,4.149744175877358e-06,1.8522616327858358e-07
96278,0.599,0.001738449,344.559998,0.15618900000004032,0.06022580219457682,0.0017391751453708815,4.163283584776062e-06,1.8216680189061344e-07
96369,0.599,0.001738454,344.559021,0.1552120000000059,0.05926127291925546,0.0017394438834864114,4.175927976650882e-06,1.7930476073755596e-07
96465,0.599,0.001738291,344.59130899999997,0.1875,0.05823584224821776,0.0017397273567706644,4.189342354880702e-06,1.7625958624346061e-07
96570,0.599,0.001738475,344.55484,0.15103100000004588,0.05710323705773134,0.0017400373589667902,4.2041027853184034e-06,1.7289318454210619e-07
96665,0.599,0.0017384879999999998,344.552277,0.14846800000003668,0.05606669599581329,0.0017403177838456612,4.217537092351608e-06,1.6980953793303718e-07
96761,0.5995,0.001740349,344.4711,0.06729100000001154,0.05500577142665601,0.0017406010965846912,4.231189662093858e-06,1.6665055540494297e-07
96851,0.5995,0.001740389,344.463165,0.0593560000000366,0.05399678675286257,0.0017408666314121602,4.244059106100495e-06,1.6364355981146764e-07
96946,0.5995,0.001740555,344.430328,0.02651900000000751,0.052914139577570296,0.001741146829054619,4.25771717870325e-06,1.604140970635051e-07
97035,0.5995,0.00174049,344.443207,0.039398000000005595,0.051880918306800784,0.0017414092319936088,4.270581270488445e-06,1.5732920192756818e-07
97126,0.5995,0.001740576,344.426178,0.022369000000026062,0.05080295914170809,0.001741677417030876,4.283803094046713e-06,1.5410773980925226e-07
