time,volt,curr,res,rj,smrj,rate,power
79293,0.482,0.0014885620000000001,323.802429,0.0,0.032255353132981286,8.636973702911167e-06,7.089125093160379e-08
79391,0.4825,0.001489519,323.930054,0.12762499999996635,0.03317366951463913,8.647888465237943e-06,7.301981395521343e-08
79481,0.4825,0.00148958,323.916809,0.11437999999998283,0.03401720064025856,8.65791666120281e-06,7.497491855291749e-08
79571,0.4825,0.001489504,323.933319,0.1308899999999653,0.03486090842421426,8.66794910310376e-06,7.693031934790246e-08
79667,0.4825,0.0014894939999999998,323.935516,0.13308699999998908,0.035761063712532876,8.678655054429884e-06,7.90164123822543e-08
79756,0.4825,0.001489413,323.953125,0.15069599999998218,0.03659577271731952,8.68858467886302e-06,8.095070440922107e-08
79847,0.483,0.001491444,323.847229,0.04480000000000928,0.03744943378973596,8.698741734037023e-06,8.29287743372081e-08
79942,0.483,0.001491481,323.839203,0.03677399999997988,0.038340833938637235,8.709349884390187e-06,8.499412872514409e-08
80041,0.483,0.001491475,323.840485,0.038055999999983214,0.039270005559367875,8.720409727498704e-06,8.714681050122586e-08
80131,0.483,0.001491385,323.860046,0.05761699999999337,0.040114922893371825,8.730468588557523e-06,8.91041154280022e-08
80220,0.483,0.001491526,323.829407,0.026977999999985514,0.04095065890994784,8.74041985992604e-06,9.103997084850588e-08
80311,0.4835,0.001492434,323.967438,0.16500899999999774,0.04180539258758631,8.75059904848341e-06,9.301963178239206e-08
80404,0.4835,0.001492404,323.973938,0.17150899999995772,0.04267914416629863,8.76100644043717e-06,9.504311396069274e-08
80493,0.4835,0.001492364,323.982635,0.1802059999999983,0.043515540935164417,8.770970448041375e-06,9.69798552566619e-08
80583,0.4835,0.001492478,323.957886,0.15545699999995577,0.044361565944911946,8.781050633134752e-06,9.893864134451115e-08
80672,0.4835,0.0014924889999999998,323.955475,0.1530459999999607,0.045198424459924065,8.791022991604115e-06,1.0087593817357313e-07
80769,0.484,0.00149448,323.85849,0.056060999999999694,0.046110777909518494,8.80189647056075e-06,1.0298767912515896e-07
80862,0.484,0.0014944860000000002,323.857178,0.054748999999958414,0.046985781189817465,8.812326189848044e-06,1.0501263049208649e-07
80951,0.484,0.001494521,323.849579,0.04714999999998781,0.04782340388619641,8.822311564470363e-06,1.069507491852343e-07
81048,0.484,0.001494446,323.86584500000004,0.0634160000000179,0.04873660355987205,8.833199229571227e-06,1.0906336541119907e-07
81137,0.484,0.001494642,323.823364,0.020935000000008586,0.049574750828742055,8.84319328162885e-06,1.1100199971043217e-07
81231,0.4845,0.0014954389999999999,323.985138,0.18270899999998846,0.05046025893837738,8.853753305840307e-06,1.1304980349425209e-07
81320,0.4845,0.001495575,323.955688,0.15325899999999137,0.05129892512245657,8.8637558953746e-06,1.149889190517802e-07
81415,0.4845,0.001495616,323.946777,0.1443479999999795,0.052194409347870854,8.87443739820506e-06,1.1705900961772256e-07
81504,0.4845,0.001495625,323.94482400000004,0.1423950000000218,0.053033597892256104,8.8844485718689e-06,1.1899858392438148e-07
81594,0.4845,0.001495509,323.969971,0.167541999999969,0.053882472490191596,8.894576452977634e-06,1.2096016802220136e-07
81689,0.485,0.001497536,323.865356,0.06292700000000195,0.0547787870269405,8.905271600464431e-06,1.2303095979527772e-07
81778,0.485,0.0014976070000000002,323.850006,0.047576999999989766,0.055618752775557626,8.915295557016836e-06,1.2497117499332293e-07
81867,0.485,0.001497562,323.859711,0.05728199999998651,0.05645896868268189,8.925323665675377e-06,1.2691158905524887e-07
81957,0.485,0.001497552,323.861877,0.059447999999974854,0.05730887853396019,8.935468672059656e-06,1.2887400335063776e-07
82060,0.485,0.001497466,323.880493,0.07806399999998348,0.05828186407094478,8.947084278437928e-06,1.31120116929609e-07
82154,0.4855,0.001499468,323.781494,-0.020935000000008586,0.059170118512129916,8.957689782390946e-06,1.3317018926865232e-07
82243,0.4855,0.0014995479999999999,323.764252,-0.03817700000001878,0.060011375187346255,8.96773543253161e-06,1.35111412679767e-07
82333,0.4855,0.001499594,323.754303,-0.04812600000002476,0.06086232850271397,8.977898177493313e-06,1.370746539636157e-07
82429,0.4855,0.001499594,323.754303,-0.04812600000002476,0.061770279430718195,8.988743118750904e-06,1.3916903758327032e-07
82519,0.4855,0.001499458,323.783661,-0.018768000000022766,0.06262173060320836,8.998914638647182e-06,1.411328282245166e-07
82617,0.486,0.001500389,323.916016,0.11358699999999544,0.0635491340366917,9.009995122480319e-06,1.4327165797850425e-07
82715,0.486,0.001500451,323.902618,0.1001890000000003,0.06447681161531359,9.02108064063076e-06,1.4541127099370997e-07
82805,0.486,0.00150041,323.911469,0.10903999999999314,0.06532899715537605,9.03126565316838e-06,1.473773293252756e-07
82894,0.486,0.001500421,323.909088,0.10665899999997919,0.06617193218113569,9.0413416743326e-06,1.4932312510157322e-07
82983,0.486,0.001500491,323.893982,0.09155299999997624,0.06701507932772288,9.051421847602965e-06,1.512772307623907e-07
83080,0.4865,0.0015025429999999998,323.784424,-0.01800500000001648,0.06793425042018911,9.062412832578666e-06,1.5341538512173038e-07
83174,0.4865,0.0015025589999999999,323.78094500000003,-0.021483999999986736,0.06882522112830847,9.073068595834383e-06,1.5549012490788154e-07
83263,0.4865,0.0015025729999999999,323.77792400000004,-0.024504999999976462,0.06966899969182358,9.083161831910578e-06,1.5745571159887497e-07
83353,0.4865,0.001502604,323.771271,-0.031158000000004904,0.07052244987265324,9.093372697481249e-06,1.5944455878575013e-07
83448,0.4865,0.0015028110000000002,323.72668500000003,-0.07574399999998604,0.07142351430409698,9.104155439677866e-06,1.615474957883407e-07
83541,0.487,0.0015036329999999999,323.882233,0.07980399999996735,0.07230579964116952,9.11471575924144e-06,1.6360763918813423e-07
83638,0.487,0.0015036729999999999,323.873596,0.07116700000000264,0.07322622325343273,9.125735116505605e-06,1.6575848565161944e-07
83736,0.487,0.0015037229999999998,323.862823,0.06039399999997386,0.07415631978396207,9.136873084023063e-06,1.6793332941330684e-07
83825,0.487,0.0015035670000000001,323.89642299999997,0.0939939999999524,0.07500114749205179,9.146992539016677e-06,1.6991037678383823e-07
83915,0.487,0.0015036539999999999,323.877716,0.07528700000000299,0.07585559989728652,9.15722991809935e-06,1.7191179495559042e-07
84013,0.4875,0.001505482,323.816559,0.014129999999966003,0.07678614138083358,9.16838211526878e-06,1.740940631117044e-07
84103,0.4875,0.0015056260000000001,323.78558300000003,-0.016845999999986816,0.07764083358684634,9.17862836364016e-06,1.76099053881145e-07
84197,0.4875,0.0015055210000000001,323.80816699999997,0.005737999999951171,0.07853361319983396,9.189334534020056e-06,1.781962951126955e-07
84285,0.4875,0.0015055829999999998,323.79486099999997,-0.007568000000048869,0.07936948632351119,9.199361529533149e-06,1.8016081824098312e-07
84381,0.4875,0.001505716,323.766235,-0.03619400000002315,0.08028141834419186,9.210304699735791e-06,1.8230731304892117e-07
84473,0.488,0.001506618,323.904266,0.10183699999998908,0.08115540416573658,9.22079643770533e-06,1.8436509192992683e-07
84563,0.488,0.0015066370000000001,323.900208,0.09777900000000272,0.08201042008766544,9.231064387527816e-06,1.8638047374886445e-07
84666,0.488,0.001506623,323.903198,0.10076899999995703,0.08298894942677182,9.242820695840919e-06,1.886917495502569e-07
84760,0.488,0.0015065970000000001,323.908783,0.10635400000001027,0.08388196045339064,9.253554607384953e-06,1.9080146148592453e-07
84849,0.488,0.001506718,323.88278199999996,0.0803529999999455,0.08472743203888713,9.263721834925619e-06,1.9280144369879683e-07
84941,0.4885,0.001508741,323.779907,-0.02252200000003768,0.08560133663922267,9.274236142404302e-06,1.9487077382967774e-07
85037,0.4885,0.001508791,323.769165,-0.033264000000031047,0.08651313577930589,9.285212323973722e-06,1.9703362438731736e-07
85126,0.4885,0.001508802,323.766815,-0.03561400000000958,0.0873583280996959,9.295392474361587e-06,1.9903935452162203e-07
85221,0.4885,0.001508781,323.771301,-0.031128000000023803,0.0882603370066902,9.306263508440244e-06,2.0118422080601698e-07
85324,0.4885,0.001508756,323.776672,-0.025756999999998698,0.08923807102095303,9.318055343182022e-06,2.035112205073544e-07
85422,0.489,0.0015097,323.905426,0.10299699999995937,0.09016806932634143,9.329279921505346e-06,2.0572749613196747e-07
85516,0.489,0.001509602,323.926453,0.12402399999996305,0.09105981114293313,9.340051084061967e-06,2.0785581065760504e-07
85606,0.489,0.0015097889999999999,323.886322,0.08389299999998912,0.09191328719659572,9.350368239565975e-06,2.0989698235289844e-07
85701,0.489,0.001509825,323.878601,0.07617199999998547,0.09281378686910124,9.361263176692221e-06,2.1205258722016722e-07
85790,0.489,0.0015097189999999999,323.901337,0.09890799999999444,0.09365699715966802,9.37147430459106e-06,2.1407480326918444e-07
85885,0.4895,0.0015118070000000002,323.784698,-0.017731000000026143,0.0945565499160623,9.382378404552219e-06,2.1623515159565712e-07
85982,0.4895,0.001511802,323.785797,-0.016632000000015523,0.09547443367681305,9.39351694576649e-06,2.1844343062146822e-07
86071,0.4895,0.00151172,323.80334500000004,0.0009160000000179025,0.09631600749461985,9.403741183124037e-06,2.204723462025176e-07
86160,0.4895,0.001511736,323.799927,-0.0025019999999926767,0.09715692944653516,9.413969572587727e-06,2.2250323686161343e-07
86249,0.4895,0.0015118360000000001,323.778503,-0.02392600000001721,0.09799712607039418,9.424202114157553e-06,2.2453626721333595e-07
86347,0.49,0.0015125870000000001,323.948334,0.14590499999997064,0.0989213522030124,9.43547421027176e-06,2.267773011518681e-07
86441,0.49,0.001512532,323.960083,0.15765399999997953,0.09980683149137151,9.446290951117591e-06,2.2892988212416968e-07
86531,0.49,0.001512603,323.944885,0.1424559999999815,0.10065358897773521,9.456651745409144e-06,2.3099315510581087e-07
86627,0.49,0.001512492,323.968658,0.16622899999998708,0.10155555457841663,9.46770793928524e-06,2.3319695241106253e-07
86716,0.49,0.001512568,323.95239300000003,0.1499640000000113,0.10239049032951844,9.477962267749082e-06,2.3524323375915e-07
