DELAY (SEC) 0.000 ; RAMP (V) 0.0005 ; MAX VOLT (V) 3.00 ; RAMP RESISTANCE TOLERANCE (low R) (float %) 0.030 ; RAMP RESISTANCE TOLERANCE (low-med R) (float %) 0.040 ; RAMP RESISTANCE TOLERANCE (med-high R) (float %) 0.060 ; RAMP RESISTANCE TOLERANCE (high R) (float %) 10000000.000 ; TARGET RESISTANCE (Ohms) 1000.000000000 ; TARGET RESISTANCE TOLERANCE (float %) 0.001 ; RAMP DOWN (V) 0.200 ; NUM CONSEC HITS (low R) 3 ; NUM CONSEC HITS (low-med R) 4 ;  NUM CONSEC HITS (med-high R) 6 ; NUM CONSEC HITS (high R) 100000 ; NUM CONSEC NDR (low R) 3 ; NUM CONSEC HITS (low-med R) 4 ; NUM CONSEC HITS (med-high R) 6 ; NUM CONSEC NDR (high R) 10000000 ; LOW/LOW-MED SWITCH RESISTANCE (ohms) 75.000000000 ; LOW-MED/MED-HIGH SWITCH RESISTANCE (ohms) 200.000000000 ; MED-HIGH/HIGH SWITCH RESISTANCE (ohms) 400.000000000 ;  INTEGRATION TIME (PLC) 1 ; RAMPDOWN DWELL (msec/mV) 0001 ; TEMPERATURE (K) 298.0000 
 voltage,current,resistance 
+1.205000E+00,+2.789611E-03,431.959869
+1.205000E+00,+2.789308E-03,432.006805
+1.205000E+00,+2.789237E-03,432.017792
+1.205000E+00,+2.788932E-03,432.065033
+1.205000E+00,+2.788824E-03,432.081787
+1.205000E+00,+2.788957E-03,432.061188
+1.205000E+00,+2.788679E-03,432.104248
+1.205000E+00,+2.788107E-03,432.192902
+1.205000E+00,+2.788442E-03,432.140991
+1.205000E+00,+2.788240E-03,432.172272
+1.205000E+00,+2.788351E-03,432.155090
+1.205000E+00,+2.788340E-03,432.156799
+1.205000E+00,+2.787960E-03,432.215698
+1.205000E+00,+2.787938E-03,432.219086
+1.205000E+00,+2.787798E-03,432.240814
+1.205000E+00,+2.787526E-03,432.282990
+1.205000E+00,+2.787421E-03,432.299255
+1.205000E+00,+2.787353E-03,432.309814
+1.205000E+00,+2.787217E-03,432.330902
+1.205000E+00,+2.787000E-03,432.364563
+1.205000E+00,+2.786834E-03,432.390320
+1.205000E+00,+2.786813E-03,432.393555
+1.205000E+00,+2.786687E-03,432.413116
+1.205000E+00,+2.787029E-03,432.360077
+1.205000E+00,+2.786894E-03,432.380981
+1.205000E+00,+2.786948E-03,432.372620
+1.205000E+00,+2.786843E-03,432.388916
+1.205000E+00,+2.786802E-03,432.395294
+1.205000E+00,+2.786682E-03,432.413910
+1.205000E+00,+2.786526E-03,432.438110
+1.205000E+00,+2.786371E-03,432.462189
+1.205000E+00,+2.786460E-03,432.448334
+1.205000E+00,+2.786211E-03,432.487000
+1.205000E+00,+2.785920E-03,432.532196
+1.205000E+00,+2.785916E-03,432.532806
+1.205000E+00,+2.785669E-03,432.571167
+1.205000E+00,+2.785651E-03,432.573944
+1.205000E+00,+2.785824E-03,432.547089
+1.205000E+00,+2.786158E-03,432.495239
+1.205000E+00,+2.786100E-03,432.504242
+1.205000E+00,+2.785803E-03,432.550323
+1.205000E+00,+2.785694E-03,432.567261
+1.205000E+00,+2.785704E-03,432.565704
+1.205000E+00,+2.785585E-03,432.584198
+1.205000E+00,+2.785310E-03,432.626923
+1.205000E+00,+2.785201E-03,432.643829
+1.205000E+00,+2.785329E-03,432.623962
+1.205000E+00,+2.785280E-03,432.631561
+1.205000E+00,+2.785092E-03,432.660767
+1.205000E+00,+2.785248E-03,432.636536
+1.205000E+00,+2.785445E-03,432.605957
+1.205000E+00,+2.785236E-03,432.638367
+1.205000E+00,+2.784972E-03,432.679413
+1.205000E+00,+2.784659E-03,432.728058
+1.205000E+00,+2.784680E-03,432.724762
+1.205000E+00,+2.784494E-03,432.753662
+1.205000E+00,+2.784309E-03,432.782440
+1.205000E+00,+2.784388E-03,432.770172
+1.205000E+00,+2.784457E-03,432.759430
+1.205000E+00,+2.784518E-03,432.749939
+1.205000E+00,+2.784664E-03,432.727264
+1.205000E+00,+2.784659E-03,432.728058
+1.205000E+00,+2.784240E-03,432.793152
+1.205000E+00,+2.784241E-03,432.792999
+1.205000E+00,+2.784073E-03,432.819153
+1.205000E+00,+2.784003E-03,432.830017
+1.205000E+00,+2.784201E-03,432.799225
+1.205000E+00,+2.784089E-03,432.816650
+1.205000E+00,+2.784154E-03,432.806549
+1.205000E+00,+2.784110E-03,432.813385
+1.205000E+00,+2.783706E-03,432.876190
+1.205000E+00,+2.783879E-03,432.849304
+1.205000E+00,+2.783847E-03,432.854248
+1.205000E+00,+2.783968E-03,432.835419
+1.205000E+00,+2.784169E-03,432.804199
+1.205000E+00,+2.783974E-03,432.834534
+1.205000E+00,+2.783884E-03,432.848511
+1.205000E+00,+2.783797E-03,432.862030
+1.205000E+00,+2.783753E-03,432.868896
+1.205000E+00,+2.783803E-03,432.861115
+1.205000E+00,+2.783641E-03,432.886292
+1.205000E+00,+2.783485E-03,432.910553
+1.205000E+00,+2.783298E-03,432.939636
+1.205000E+00,+2.783252E-03,432.946808
+1.205000E+00,+2.782872E-03,433.005920
+1.205000E+00,+2.783091E-03,432.971832
+1.205000E+00,+2.783202E-03,432.954559
+1.205000E+00,+2.783429E-03,432.919250
+1.205000E+00,+2.783313E-03,432.937317
+1.205000E+00,+2.783193E-03,432.955963
+1.205000E+00,+2.783146E-03,432.963287
+1.205000E+00,+2.782850E-03,433.009338
+1.205000E+00,+2.782587E-03,433.050262
+1.205000E+00,+2.783126E-03,432.966400
+1.205000E+00,+2.783182E-03,432.957672
+1.205000E+00,+2.782850E-03,433.009338
+1.205000E+00,+2.782532E-03,433.058838
+1.205000E+00,+2.782905E-03,433.000793
+1.205000E+00,+2.782665E-03,433.038147
+1.205000E+00,+2.782804E-03,433.016510
+1.205000E+00,+2.782641E-03,433.041870
+1.205000E+00,+2.782643E-03,433.041534
+1.205000E+00,+2.782552E-03,433.055695
+1.205000E+00,+2.782511E-03,433.062073
+1.205000E+00,+2.782753E-03,433.024445
+1.205000E+00,+2.782849E-03,433.009521
+1.205000E+00,+2.782698E-03,433.032990
+1.205000E+00,+2.782961E-03,432.992096
+1.205000E+00,+2.782840E-03,433.010895
+1.205000E+00,+2.782790E-03,433.018677
+1.205000E+00,+2.782441E-03,433.072998
+1.205000E+00,+2.782727E-03,433.028503
+1.205000E+00,+2.782535E-03,433.058350
+1.205000E+00,+2.782401E-03,433.079224
+1.205000E+00,+2.782365E-03,433.084808
+1.205000E+00,+2.782193E-03,433.111603
+1.205000E+00,+2.781919E-03,433.154266
+1.205000E+00,+2.782133E-03,433.120941
+1.205000E+00,+2.782048E-03,433.134186
+1.205000E+00,+2.781716E-03,433.185883
+1.205000E+00,+2.781427E-03,433.230865
+1.205000E+00,+2.781084E-03,433.284302
+1.205000E+00,+2.781024E-03,433.293671
+1.205000E+00,+2.780596E-03,433.360352
+1.205000E+00,+2.780954E-03,433.304565
+1.205000E+00,+2.780725E-03,433.340240
+1.205000E+00,+2.780898E-03,433.313293
+1.205000E+00,+2.780913E-03,433.310974
+1.205000E+00,+2.780736E-03,433.338531
+1.205000E+00,+2.780444E-03,433.384033
+1.205000E+00,+2.780233E-03,433.416931
+1.205000E+00,+2.780130E-03,433.433014
+1.205000E+00,+2.780056E-03,433.444519
+1.205000E+00,+2.779909E-03,433.467438
+1.205000E+00,+2.779476E-03,433.534943
+1.205000E+00,+2.779430E-03,433.542145
+1.205000E+00,+2.779572E-03,433.519989
+1.205000E+00,+2.779793E-03,433.485535
+1.205000E+00,+2.779616E-03,433.513123
+1.205000E+00,+2.779648E-03,433.508148
+1.205000E+00,+2.779073E-03,433.597839
+1.205000E+00,+2.779097E-03,433.594086
+1.205000E+00,+2.779005E-03,433.608429
+1.205000E+00,+2.779278E-03,433.565857
+1.205000E+00,+2.779395E-03,433.547577
+1.205000E+00,+2.779259E-03,433.568787
+1.205000E+00,+2.779391E-03,433.548248
+1.205000E+00,+2.778931E-03,433.619995
+1.205000E+00,+2.778756E-03,433.647308
+1.205000E+00,+2.778705E-03,433.655273
+1.205000E+00,+2.778538E-03,433.681305
+1.205000E+00,+2.778724E-03,433.652283
+1.205000E+00,+2.778781E-03,433.643372
+1.205000E+00,+2.778048E-03,433.757843
+1.205000E+00,+2.778402E-03,433.702545
+1.205000E+00,+2.778595E-03,433.672424
+1.205000E+00,+2.778628E-03,433.667297
+1.205000E+00,+2.778604E-03,433.671021
+1.205000E+00,+2.778316E-03,433.716003
+1.205000E+00,+2.778353E-03,433.710205
+1.205000E+00,+2.778361E-03,433.708954
+1.205000E+00,+2.778499E-03,433.687439
+1.205000E+00,+2.778231E-03,433.729248
+1.205000E+00,+2.778267E-03,433.723633
+1.205000E+00,+2.778004E-03,433.764709
+1.205000E+00,+2.777782E-03,433.799347
+1.205000E+00,+2.777836E-03,433.790924
+1.205000E+00,+2.777579E-03,433.831055
+1.205000E+00,+2.777565E-03,433.833252
+1.205000E+00,+2.777621E-03,433.824524
+1.205000E+00,+2.777724E-03,433.808411
+1.205000E+00,+2.777594E-03,433.828735
+1.205000E+00,+2.777673E-03,433.816376
+1.205000E+00,+2.777243E-03,433.883545
+1.205000E+00,+2.777142E-03,433.899323
+1.205000E+00,+2.776880E-03,433.940247
+1.205000E+00,+2.776731E-03,433.963531
+1.205000E+00,+2.776895E-03,433.937927
+1.205000E+00,+2.777051E-03,433.913544
+1.205000E+00,+2.776979E-03,433.924805
+1.205000E+00,+2.776309E-03,434.029541
+1.205000E+00,+2.775533E-03,434.150879
+1.205000E+00,+2.775437E-03,434.165894
+1.205000E+00,+2.775138E-03,434.212646
+1.205000E+00,+2.774856E-03,434.256775
+1.205000E+00,+2.774803E-03,434.265076
+1.205000E+00,+2.774650E-03,434.289032
+1.205000E+00,+2.774389E-03,434.329895
+1.205000E+00,+2.773807E-03,434.421021
+1.205000E+00,+2.774101E-03,434.374969
+1.205000E+00,+2.773996E-03,434.391418
+1.205000E+00,+2.774026E-03,434.386719
+1.205000E+00,+2.773535E-03,434.463623
+1.205000E+00,+2.773319E-03,434.497467
+1.205000E+00,+2.773509E-03,434.467712
+1.205000E+00,+2.772624E-03,434.606384
+1.205000E+00,+2.772276E-03,434.660919
+1.205000E+00,+2.772064E-03,434.694183
+1.205000E+00,+2.772391E-03,434.642883
+1.205000E+00,+2.772527E-03,434.621552
+1.205000E+00,+2.772434E-03,434.636169
+1.205000E+00,+2.772053E-03,434.695892
+1.205000E+00,+2.772083E-03,434.691193
+1.205000E+00,+2.771842E-03,434.728973
+1.205000E+00,+2.771704E-03,434.750610
+1.205000E+00,+2.771683E-03,434.753906
+1.205000E+00,+2.771772E-03,434.739960
+1.205000E+00,+2.772154E-03,434.680054
+1.205000E+00,+2.771772E-03,434.739960
+1.205000E+00,+2.771564E-03,434.772583
+1.205000E+00,+2.771552E-03,434.774475
+1.205000E+00,+2.771797E-03,434.736053
+1.205000E+00,+2.771413E-03,434.796295
+1.205000E+00,+2.771594E-03,434.767853
+1.205000E+00,+2.771887E-03,434.721924
+1.205000E+00,+2.771105E-03,434.844604
+1.205000E+00,+2.771272E-03,434.818390
+1.205000E+00,+2.770803E-03,434.891998
+1.205000E+00,+2.770779E-03,434.895782
+1.205000E+00,+2.770182E-03,434.989502
+1.205000E+00,+2.770178E-03,434.990112
+1.205000E+00,+2.770340E-03,434.964661
+1.205000E+00,+2.769856E-03,435.040680
+1.205000E+00,+2.769825E-03,435.045532
+1.205000E+00,+2.769886E-03,435.035950
+1.205000E+00,+2.769900E-03,435.033783
+1.205000E+00,+2.769877E-03,435.037384
+1.205000E+00,+2.769653E-03,435.072571
+1.205000E+00,+2.769603E-03,435.080444
+1.205000E+00,+2.769199E-03,435.143890
+1.205000E+00,+2.769028E-03,435.170746
+1.205000E+00,+2.768921E-03,435.187592
+1.205000E+00,+2.768595E-03,435.238831
+1.205000E+00,+2.768154E-03,435.308167
+1.205000E+00,+2.767221E-03,435.454926
+1.205000E+00,+2.767324E-03,435.438721
+1.205000E+00,+2.766528E-03,435.564026
+1.205000E+00,+2.766140E-03,435.625092
+1.205000E+00,+2.765831E-03,435.673767
+1.205000E+00,+2.765559E-03,435.716644
+1.205000E+00,+2.765130E-03,435.784210
+1.205000E+00,+2.765085E-03,435.791321
+1.205000E+00,+2.764904E-03,435.819855
+1.205000E+00,+2.764747E-03,435.844604
+1.205000E+00,+2.764113E-03,435.944550
+1.205000E+00,+2.764050E-03,435.954529
+1.205000E+00,+2.764375E-03,435.903259
+1.205000E+00,+2.763764E-03,435.999603
+1.205000E+00,+2.763951E-03,435.970123
+1.205000E+00,+2.763814E-03,435.991730
+1.205000E+00,+2.763083E-03,436.107086
+1.205000E+00,+2.762563E-03,436.189148
+1.205000E+00,+2.762230E-03,436.241730
+1.205000E+00,+2.761383E-03,436.375549
+1.205000E+00,+2.761426E-03,436.368774
+1.205000E+00,+2.760780E-03,436.470856
+1.205000E+00,+2.761112E-03,436.418365
+1.205000E+00,+2.760440E-03,436.524597
+1.205000E+00,+2.760128E-03,436.573975
+1.205000E+00,+2.759276E-03,436.708771
+1.205000E+00,+2.759155E-03,436.727936
+1.205000E+00,+2.758772E-03,436.788544
+1.205000E+00,+2.758254E-03,436.870575
+1.205000E+00,+2.757832E-03,436.937439
+1.205000E+00,+2.757079E-03,437.056763
+1.205000E+00,+2.757228E-03,437.033142
+1.205000E+00,+2.757136E-03,437.047729
+1.205000E+00,+2.756523E-03,437.144928
+1.205000E+00,+2.756840E-03,437.094635
+1.205000E+00,+2.756654E-03,437.124146
+1.205000E+00,+2.756186E-03,437.198364
+1.205000E+00,+2.756506E-03,437.147614
+1.205000E+00,+2.756305E-03,437.179504
+1.205000E+00,+2.755677E-03,437.279114
+1.205000E+00,+2.754913E-03,437.400421
+1.205000E+00,+2.754785E-03,437.420746
+1.205000E+00,+2.754592E-03,437.451355
+1.205000E+00,+2.754052E-03,437.537140
+1.205000E+00,+2.754420E-03,437.478668
+1.205000E+00,+2.754451E-03,437.473755
+1.205000E+00,+2.754436E-03,437.476135
+1.205000E+00,+2.753921E-03,437.557953
+1.205000E+00,+2.753700E-03,437.593079
+1.205000E+00,+2.753200E-03,437.672546
+1.205000E+00,+2.753156E-03,437.679535
+1.205000E+00,+2.752947E-03,437.712769
+1.205000E+00,+2.752927E-03,437.715973
+1.205000E+00,+2.752853E-03,437.727692
+1.205000E+00,+2.752341E-03,437.809113
+1.205000E+00,+2.751979E-03,437.866730
+1.205000E+00,+2.751662E-03,437.917175
+1.205000E+00,+2.751550E-03,437.934998
+1.205000E+00,+2.751658E-03,437.917816
+1.205000E+00,+2.751179E-03,437.994049
+1.205000E+00,+2.750795E-03,438.055176
+1.205000E+00,+2.750579E-03,438.089600
+1.205000E+00,+2.750790E-03,438.056000
+1.205000E+00,+2.750135E-03,438.160309
+1.205000E+00,+2.750259E-03,438.140594
+1.205000E+00,+2.750526E-03,438.098053
