volt,curr,res,time,rj,smrj,rate,power
1.6075,0.0040609209999999995,395.846161,3318,0.0,-0.01886629984220178,0.0008957202480822968,-3.216299733809639e-07
1.6075,0.00406102,395.836517,3319,-0.009643999999980224,-0.01828001316972269,0.0008955890329741373,-3.118614442403492e-07
1.6075,0.004060977,395.840668,3320,-0.005493000000001302,-0.01769370607360301,0.000895457860450267,-3.0209273260205406e-07
1.6075,0.004061017,395.836792,3321,-0.009368999999992411,-0.01710737848004751,0.0008953267305106856,-2.923238373322737e-07
1.6075,0.004060954,395.84295699999996,3322,-0.0032040000000392865,-0.016521030316861526,0.0008951956431553932,-2.8255475730683445e-07
1.6075,0.004061018,395.8367,3323,-0.009460999999987507,-0.015934661513739533,0.0008950645983843899,-2.727854914116897e-07
1.6075,0.00406104,395.834564,3324,-0.01159699999999475,-0.015348272001656806,0.0008949335961976757,-2.630160385423662e-07
1.6075,0.004060984,395.839996,3325,-0.006165000000009968,-0.014761861713407891,0.0008948026365952506,-2.5324639760402505e-07
1.6075,0.004060935999999999,395.844666,3326,-0.0014949999999771535,-0.014175430583481974,0.0008946717195771144,-2.434765675111201e-07
1.6075,0.004061027,395.83581499999997,3327,-0.010346000000026834,-0.013588978548262597,0.0008945408451432675,-2.3370654718739782e-07
1.6075,0.0040610229999999995,395.836243,3328,-0.009917999999970561,-0.013002505545392574,0.0008944100132937094,-2.2393633556577208e-07
1.6075,0.004060930999999999,395.84518399999996,3329,-0.0009770000000344226,-0.012416011513705673,0.0008942792240284403,-2.1416593158790447e-07
1.6075,0.00406091,395.847229,3330,0.0010680000000320433,-0.011829496393263863,0.0008941484773474605,-2.0439533420447978e-07
1.6075,0.004060940999999999,395.844208,3331,-0.0019530000000145264,-0.011242960125472734,0.0008940177732507697,-1.9462454237471334e-07
1.6075,0.004060982,395.84024,3332,-0.005921000000000731,-0.01065640265295857,0.0008938871117383678,-1.8485355506625536e-07
1.6075,0.004061082,395.830475,3333,-0.01568600000001652,-0.010069823920164405,0.0008937564928102551,-1.7508237125526876e-07
1.6075,0.004061082,395.830475,3334,-0.01568600000001652,-0.009483223872647153,0.0008936259164664314,-1.6531098992605183e-07
1.6075,0.00406098,395.84042400000004,3335,-0.005736999999953696,-0.008896602454423596,0.0008934953827068969,-1.5553941007099013e-07
1.6075,0.004060940999999999,395.844208,3336,-0.0019530000000145264,-0.008309959607809302,0.0008933648915316511,-1.4576763069028298e-07
1.6075,0.004061046,395.833954,3337,-0.01220699999998942,-0.007723295275884203,0.0008932344429406946,-1.3599565079203406e-07
1.6075,0.004061015,395.83700600000003,3338,-0.009154999999964275,-0.0071366094029565175,0.000893104036934027,-1.262234693919318e-07
1.6075,0.0040609240000000005,395.845856,3339,-0.00030499999996891347,-0.006549901932160665,0.0008929736735116486,-1.1645108551316593e-07
1.6075,0.004060935999999999,395.844666,3340,-0.0014949999999771535,-0.005963172805870505,0.000892843352673559,-1.0667849818628944e-07
1.6075,0.004060928,395.84549,3341,-0.0006710000000111904,-0.005376421967884084,0.0008927130744197587,-9.69057064490973e-08
1.6075,0.004060933,395.84500099999997,3342,-0.0011600000000271393,-0.004789649363690801,0.0008925828387502473,-8.713270934645447e-08
1.6075,0.00406098,395.84042400000004,3343,-0.005736999999953696,-0.004202854940387888,0.0008924526456650253,-7.735950593016529e-08
1.6075,0.00406092,395.846252,3344,9.099999999762076e-05,-0.0036160386460623445,0.000892322495164092,-6.758609525889198e-08
1.6075,0.004060857,395.85238599999997,3345,0.0062249999999721695,-0.003029200428642993,0.000892192387247448,-5.781247639798687e-08
1.6075,0.004060825,395.85553,3346,0.009368999999992411,-0.002442340237100912,0.0008920623219150928,-4.8038648419259654e-08
1.6075,0.004060837,395.85434,3347,0.008178999999984171,-0.0018554580221564257,0.0008919322991670268,-3.8264610401090224e-08
1.6075,0.004060744,395.863434,3348,0.01727299999998877,-0.0012685537359901347,0.0008918023190032497,-2.8490361428012543e-08
1.6075,0.004060788,395.8591,3349,0.012939000000017131,-0.0006816273321205573,0.0008916723814237615,-1.871590059078831e-08
1.6075,0.0040607379999999995,395.864014,3350,0.01785300000000234,-9.467876429981988e-05,0.0008915424864285628,-8.941226986129182e-09
1.6075,0.004060816,395.856384,3351,0.010222999999996318,0.0004922920134462787,0.0008914126340176529,8.336602832575149e-10
1.6075,0.00406073,395.864777,3352,0.018616000000008626,0.0010792850468880244,0.0008912828241910322,1.0608762108968611e-08
1.6075,0.0040607690000000005,395.86096200000003,3353,0.014801000000034037,0.0016663003806661643,0.0008911530569487005,2.0384079376934785e-08
1.6075,0.004060801,395.85784900000004,3354,0.011688000000049215,0.002253338059189029,0.0008910233322906578,3.015961296760181e-08
1.6075,0.0040607640000000006,395.861481,3355,0.015320000000031087,0.002840398126139753,0.000890893650216904,3.993536375608839e-08
1.6075,0.004060785999999999,395.859283,3356,0.013122000000009848,0.0034274806237062044,0.0008907640107274395,4.971133261214334e-08
1.6075,0.004060722,395.86557,3357,0.019408999999996013,0.004014585592870303,0.000890634413822264,5.948752040050432e-08
1.6075,0.004060855,395.85257,3358,0.006409000000019205,0.004601713073303581,0.0008905048595013774,6.926392798080689e-08
1.6075,0.0040607790000000005,395.86001600000003,3359,0.013855000000035034,0.005188863104350224,0.0008903753477647799,7.904055620795557e-08
1.6075,0.004060735,395.864288,3360,0.018126999999992677,0.00577603572470923,0.0008902458786124714,8.881740593199477e-08
1.6075,0.004060644,395.873138,3361,0.02697699999998804,0.0063632309715916735,0.0008901164520444522,9.859447799836653e-08
