DELAY (SEC) 0.000 ; RAMP (V) 0.0005 ; MAX VOLT (V) 3.00 ; RAMP RESISTANCE TOLERANCE (low R) (float %) 0.030 ; RAMP RESISTANCE TOLERANCE (low-med R) (float %) 0.040 ; RAMP RESISTANCE TOLERANCE (med-high R) (float %) 0.060 ; RAMP RESISTANCE TOLERANCE (high R) (float %) 10000000.000 ; TARGET RESISTANCE (Ohms) 1000.000000000 ; TARGET RESISTANCE TOLERANCE (float %) 0.001 ; RAMP DOWN (V) 0.200 ; NUM CONSEC HITS (low R) 3 ; NUM CONSEC HITS (low-med R) 4 ;  NUM CONSEC HITS (med-high R) 6 ; NUM CONSEC HITS (high R) 100000 ; NUM CONSEC NDR (low R) 3 ; NUM CONSEC HITS (low-med R) 4 ; NUM CONSEC HITS (med-high R) 6 ; NUM CONSEC NDR (high R) 10000000 ; LOW/LOW-MED SWITCH RESISTANCE (ohms) 75.000000000 ; LOW-MED/MED-HIGH SWITCH RESISTANCE (ohms) 200.000000000 ; MED-HIGH/HIGH SWITCH RESISTANCE (ohms) 400.000000000 ;  INTEGRATION TIME (PLC) 1 ; RAMPDOWN DWELL (msec/mV) 0001 ; TEMPERATURE (K) 298.0000 
 voltage,current,resistance 
+4.000000E-01,+9.579531E-04,417.556976
+4.000000E-01,+9.579519E-04,417.557526
+4.000000E-01,+9.579572E-04,417.555206
+4.000000E-01,+9.579724E-04,417.548584
+4.000000E-01,+9.579674E-04,417.550751
+4.005000E-01,+9.591272E-04,417.567139
+4.005000E-01,+9.590918E-04,417.582550
+4.005000E-01,+9.589899E-04,417.626923
+4.005000E-01,+9.591068E-04,417.576019
+4.005000E-01,+9.590513E-04,417.600189
+4.010000E-01,+9.602166E-04,417.614105
+4.010000E-01,+9.602616E-04,417.594513
+4.010000E-01,+9.602824E-04,417.585480
+4.010000E-01,+9.602620E-04,417.594360
+4.010000E-01,+9.602112E-04,417.616455
+4.015000E-01,+9.614617E-04,417.593323
+4.015000E-01,+9.614822E-04,417.584442
+4.015000E-01,+9.614619E-04,417.593231
+4.015000E-01,+9.614263E-04,417.608704
+4.015000E-01,+9.613962E-04,417.621765
+4.020000E-01,+9.625505E-04,417.640442
+4.020000E-01,+9.626317E-04,417.605194
+4.020000E-01,+9.626416E-04,417.600891
+4.020000E-01,+9.626264E-04,417.607483
+4.020000E-01,+9.626522E-04,417.596313
+4.025000E-01,+9.638618E-04,417.590973
+4.025000E-01,+9.638266E-04,417.606232
+4.025000E-01,+9.637960E-04,417.619507
+4.025000E-01,+9.638116E-04,417.612732
+4.025000E-01,+9.638119E-04,417.612610
+4.030000E-01,+9.649659E-04,417.631348
+4.030000E-01,+9.649673E-04,417.630737
+4.030000E-01,+9.649813E-04,417.624695
+4.030000E-01,+9.650021E-04,417.615662
+4.030000E-01,+9.649816E-04,417.624542
+4.035000E-01,+9.661511E-04,417.636536
+4.035000E-01,+9.661205E-04,417.649750
+4.035000E-01,+9.661312E-04,417.645111
+4.035000E-01,+9.661621E-04,417.631775
+4.035000E-01,+9.661764E-04,417.625610
+4.040000E-01,+9.673563E-04,417.633087
+4.040000E-01,+9.673308E-04,417.644104
+4.040000E-01,+9.673768E-04,417.624237
+4.040000E-01,+9.673708E-04,417.626831
+4.040000E-01,+9.673665E-04,417.628693
+4.045000E-01,+9.685569E-04,417.631622
+4.045000E-01,+9.684906E-04,417.660217
+4.045000E-01,+9.685070E-04,417.653137
+4.045000E-01,+9.685517E-04,417.633911
+4.045000E-01,+9.685213E-04,417.647003
+4.050000E-01,+9.697110E-04,417.650208
+4.050000E-01,+9.697727E-04,417.623627
+4.050000E-01,+9.697163E-04,417.647919
+4.050000E-01,+9.697366E-04,417.639191
+4.050000E-01,+9.696959E-04,417.656708
+4.055000E-01,+9.709112E-04,417.648895
+4.055000E-01,+9.708962E-04,417.655334
+4.055000E-01,+9.708962E-04,417.655334
+4.055000E-01,+9.708860E-04,417.659760
+4.055000E-01,+9.708711E-04,417.666168
+4.055000E-01,+9.708200E-04,417.688110
+4.055000E-01,+9.708204E-04,417.687988
+4.055000E-01,+9.707906E-04,417.700806
+4.055000E-01,+9.708659E-04,417.668396
+4.055000E-01,+9.708360E-04,417.681274
+4.055000E-01,+9.708561E-04,417.672607
+4.055000E-01,+9.708111E-04,417.691956
+4.055000E-01,+9.708558E-04,417.672729
+4.055000E-01,+9.708358E-04,417.681335
+4.055000E-01,+9.708354E-04,417.681519
+4.060000E-01,+9.719951E-04,417.697571
+4.060000E-01,+9.720207E-04,417.686584
+4.060000E-01,+9.720508E-04,417.673615
+4.060000E-01,+9.719958E-04,417.697266
+4.060000E-01,+9.719499E-04,417.716980
+4.065000E-01,+9.732514E-04,417.672150
+4.065000E-01,+9.732303E-04,417.681213
+4.065000E-01,+9.732561E-04,417.670166
+4.065000E-01,+9.731438E-04,417.718353
+4.065000E-01,+9.732761E-04,417.661560
+4.070000E-01,+9.744257E-04,417.681915
+4.070000E-01,+9.743851E-04,417.699310
+4.070000E-01,+9.743710E-04,417.705383
+4.070000E-01,+9.744068E-04,417.690033
+4.070000E-01,+9.743809E-04,417.701141
+4.075000E-01,+9.755411E-04,417.716919
+4.075000E-01,+9.755804E-04,417.700073
+4.075000E-01,+9.755198E-04,417.726013
+4.075000E-01,+9.755703E-04,417.704407
+4.075000E-01,+9.756059E-04,417.689148
+4.080000E-01,+9.767201E-04,417.724579
+4.080000E-01,+9.768314E-04,417.676971
+4.080000E-01,+9.767610E-04,417.707092
+4.080000E-01,+9.767856E-04,417.696594
+4.080000E-01,+9.768417E-04,417.672607
+4.085000E-01,+9.779653E-04,417.703979
+4.085000E-01,+9.779962E-04,417.690796
+4.085000E-01,+9.779764E-04,417.699249
+4.085000E-01,+9.779965E-04,417.690643
+4.085000E-01,+9.780164E-04,417.682129
+4.090000E-01,+9.792162E-04,417.681000
+4.090000E-01,+9.792160E-04,417.681122
+4.090000E-01,+9.792668E-04,417.659424
+4.090000E-01,+9.792519E-04,417.665771
+4.090000E-01,+9.792614E-04,417.661743
+4.095000E-01,+9.803911E-04,417.690460
+4.095000E-01,+9.803916E-04,417.690216
+4.095000E-01,+9.804169E-04,417.679474
+4.095000E-01,+9.803860E-04,417.692596
+4.095000E-01,+9.804214E-04,417.677521
+4.100000E-01,+9.815812E-04,417.693420
+4.100000E-01,+9.815656E-04,417.700073
+4.100000E-01,+9.815805E-04,417.693726
+4.100000E-01,+9.816217E-04,417.676178
+4.100000E-01,+9.815961E-04,417.687073
+4.105000E-01,+9.827410E-04,417.709229
+4.105000E-01,+9.827762E-04,417.694275
+4.105000E-01,+9.828059E-04,417.681671
+4.105000E-01,+9.828068E-04,417.681274
+4.105000E-01,+9.828163E-04,417.677216
+4.110000E-01,+9.840273E-04,417.671356
+4.110000E-01,+9.839420E-04,417.707581
+4.110000E-01,+9.839510E-04,417.703735
+4.110000E-01,+9.839517E-04,417.703430
+4.110000E-01,+9.839865E-04,417.688660
+4.115000E-01,+9.851762E-04,417.691803
+4.115000E-01,+9.851964E-04,417.683197
+4.115000E-01,+9.852318E-04,417.668213
+4.115000E-01,+9.851514E-04,417.702301
+4.115000E-01,+9.851764E-04,417.691681
+4.120000E-01,+9.863718E-04,417.692413
+4.120000E-01,+9.863315E-04,417.709473
+4.120000E-01,+9.863409E-04,417.705475
+4.120000E-01,+9.863108E-04,417.718231
+4.120000E-01,+9.863367E-04,417.707245
+4.125000E-01,+9.874854E-04,417.727692
+4.125000E-01,+9.874664E-04,417.735718
+4.125000E-01,+9.874955E-04,417.723419
+4.125000E-01,+9.875259E-04,417.710541
+4.125000E-01,+9.874699E-04,417.734253
+4.130000E-01,+9.886303E-04,417.749664
+4.130000E-01,+9.886703E-04,417.732788
+4.130000E-01,+9.886913E-04,417.723877
+4.130000E-01,+9.885897E-04,417.766815
+4.130000E-01,+9.886570E-04,417.738403
+4.135000E-01,+9.897692E-04,417.774170
+4.135000E-01,+9.898252E-04,417.750519
+4.135000E-01,+9.897950E-04,417.763306
+4.135000E-01,+9.898201E-04,417.752686
+4.135000E-01,+9.897547E-04,417.780304
+4.140000E-01,+9.910555E-04,417.736450
+4.140000E-01,+9.910553E-04,417.736542
+4.140000E-01,+9.910559E-04,417.736298
+4.140000E-01,+9.910204E-04,417.751251
+4.140000E-01,+9.910504E-04,417.738617
+4.145000E-01,+9.922002E-04,417.758423
+4.145000E-01,+9.921695E-04,417.771362
+4.145000E-01,+9.922207E-04,417.749786
+4.145000E-01,+9.922010E-04,417.758087
+4.145000E-01,+9.922002E-04,417.758423
