DELAY (SEC) -107374176.000 ; RAMP (V) 0.0005 ; MAX VOLT (V) 3.00 ; RAMP RESISTANCE TOLERANCE (low R) (float %) -107374176.000 ; RAMP RESISTANCE TOLERANCE (low-med R) (float %) -107374176.000 ; RAMP RESISTANCE TOLERANCE (med-high R) (float %) -107374176.000 ; RAMP RESISTANCE TOLERANCE (high R) (float %) -107374176.000 ; TARGET RESISTANCE (Ohms) 1000.000000000 ; TARGET RESISTANCE TOLERANCE (float %) 0.001 ; RAMP DOWN (V) -107374176.000 ; NUM CONSEC HITS (low R) -858993460 ; NUM CONSEC HITS (low-med R) -858993460 ;  NUM CONSEC HITS (med-high R) -858993460 ; NUM CONSEC HITS (high R) -858993460 ; NUM CONSEC NDR (low R) -858993460 ; NUM CONSEC HITS (low-med R) -858993460 ; NUM CONSEC HITS (med-high R) -858993460 ; NUM CONSEC NDR (high R) -858993460 ; LOW/LOW-MED SWITCH RESISTANCE (ohms) -107374176.000000000 ; LOW-MED/MED-HIGH SWITCH RESISTANCE (ohms) -107374176.000000000 ; MED-HIGH/HIGH SWITCH RESISTANCE (ohms) -107374176.000000000 ;  INTEGRATION TIME (PLC) 1 ; RAMPDOWN DWELL (msec/mV) -858993460 ; TEMPERATURE (K) -107374176.0000 
 voltage,current,resistance 
+1.431000E+00,+3.635031E-03,393.669281
+1.431000E+00,+3.635063E-03,393.665802
+1.431000E+00,+3.634964E-03,393.676544
+1.431000E+00,+3.635064E-03,393.665680
+1.431000E+00,+3.634997E-03,393.672943
+1.431500E+00,+3.636249E-03,393.674896
+1.431500E+00,+3.636254E-03,393.674347
+1.431500E+00,+3.636301E-03,393.669281
+1.431500E+00,+3.636315E-03,393.667755
+1.431500E+00,+3.636310E-03,393.668274
+1.432000E+00,+3.637519E-03,393.674927
+1.432000E+00,+3.637657E-03,393.660004
+1.432000E+00,+3.637661E-03,393.659576
+1.432000E+00,+3.637667E-03,393.658905
+1.432000E+00,+3.637627E-03,393.663239
+1.432500E+00,+3.639038E-03,393.648010
+1.432500E+00,+3.638942E-03,393.658386
+1.432500E+00,+3.638967E-03,393.655670
+1.432500E+00,+3.638862E-03,393.667053
+1.432500E+00,+3.638755E-03,393.678589
+1.433000E+00,+3.640078E-03,393.672882
+1.433000E+00,+3.640046E-03,393.676331
+1.433000E+00,+3.640044E-03,393.676544
+1.433000E+00,+3.640056E-03,393.675262
+1.433000E+00,+3.640029E-03,393.678192
+1.433500E+00,+3.641291E-03,393.679077
+1.433500E+00,+3.641321E-03,393.675812
+1.433500E+00,+3.641332E-03,393.674622
+1.433500E+00,+3.641358E-03,393.671814
+1.433500E+00,+3.641317E-03,393.676270
+1.434000E+00,+3.642557E-03,393.679504
+1.434000E+00,+3.642526E-03,393.682861
+1.434000E+00,+3.642471E-03,393.688782
+1.434000E+00,+3.642584E-03,393.676575
+1.434000E+00,+3.642412E-03,393.695190
+1.434500E+00,+3.643744E-03,393.688477
+1.434500E+00,+3.643761E-03,393.686646
+1.434500E+00,+3.643742E-03,393.688660
+1.434500E+00,+3.643737E-03,393.689240
+1.434500E+00,+3.643723E-03,393.690735
+1.435000E+00,+3.644979E-03,393.692230
+1.435000E+00,+3.645003E-03,393.689636
+1.435000E+00,+3.644953E-03,393.695038
+1.435000E+00,+3.644938E-03,393.696686
+1.435000E+00,+3.644968E-03,393.693451
+1.435500E+00,+3.646287E-03,393.688171
+1.435500E+00,+3.646259E-03,393.691193
+1.435500E+00,+3.646286E-03,393.688263
+1.435500E+00,+3.646322E-03,393.684387
+1.435500E+00,+3.646316E-03,393.685028
+1.436000E+00,+3.647572E-03,393.686554
+1.436000E+00,+3.647504E-03,393.693878
+1.436000E+00,+3.647565E-03,393.687317
+1.436000E+00,+3.647527E-03,393.691406
+1.436000E+00,+3.647513E-03,393.692902
+1.436500E+00,+3.648706E-03,393.701202
+1.436500E+00,+3.648836E-03,393.687195
+1.436500E+00,+3.648836E-03,393.687195
+1.436500E+00,+3.648815E-03,393.689453
+1.436500E+00,+3.648766E-03,393.694733
+1.437000E+00,+3.649968E-03,393.702087
+1.437000E+00,+3.650107E-03,393.687103
+1.437000E+00,+3.650075E-03,393.690552
+1.437000E+00,+3.650083E-03,393.689697
+1.437000E+00,+3.650107E-03,393.687103
+1.437500E+00,+3.651286E-03,393.696899
+1.437500E+00,+3.651243E-03,393.701538
+1.437500E+00,+3.651317E-03,393.693573
+1.437500E+00,+3.651350E-03,393.690002
+1.437500E+00,+3.651271E-03,393.698517
+1.438000E+00,+3.652671E-03,393.684509
+1.438000E+00,+3.652623E-03,393.689697
+1.438000E+00,+3.652597E-03,393.692474
+1.438000E+00,+3.652638E-03,393.688049
+1.438000E+00,+3.652612E-03,393.690857
+1.438500E+00,+3.653897E-03,393.689270
+1.438500E+00,+3.653869E-03,393.692291
+1.438500E+00,+3.653900E-03,393.688934
+1.438500E+00,+3.653912E-03,393.687653
+1.438500E+00,+3.653888E-03,393.690247
+1.439000E+00,+3.655125E-03,393.693787
+1.439000E+00,+3.655113E-03,393.695068
+1.439000E+00,+3.655149E-03,393.691223
+1.439000E+00,+3.655050E-03,393.701874
+1.439000E+00,+3.655073E-03,393.699402
+1.439500E+00,+3.656374E-03,393.696045
+1.439500E+00,+3.656349E-03,393.698730
+1.439500E+00,+3.656324E-03,393.701416
+1.439500E+00,+3.656365E-03,393.697021
+1.439500E+00,+3.656318E-03,393.702087
+1.440000E+00,+3.657522E-03,393.709198
+1.440000E+00,+3.657540E-03,393.707245
+1.440000E+00,+3.657467E-03,393.715118
+1.440000E+00,+3.657523E-03,393.709076
+1.440000E+00,+3.657489E-03,393.712738
+1.440500E+00,+3.658895E-03,393.698120
+1.440500E+00,+3.658840E-03,393.704010
+1.440500E+00,+3.658746E-03,393.714142
+1.440500E+00,+3.658783E-03,393.710175
+1.440500E+00,+3.658766E-03,393.712006
+1.441000E+00,+3.660056E-03,393.709808
+1.441000E+00,+3.659990E-03,393.716919
+1.441000E+00,+3.660014E-03,393.714355
+1.441000E+00,+3.660087E-03,393.706482
+1.441000E+00,+3.660006E-03,393.715210
+1.441500E+00,+3.661280E-03,393.714752
+1.441500E+00,+3.661280E-03,393.714752
+1.441500E+00,+3.661244E-03,393.718628
+1.441500E+00,+3.661245E-03,393.718506
+1.441500E+00,+3.661306E-03,393.711945
+1.442000E+00,+3.662504E-03,393.719727
+1.442000E+00,+3.662530E-03,393.716919
+1.442000E+00,+3.662467E-03,393.723694
+1.442000E+00,+3.662433E-03,393.727356
+1.442000E+00,+3.662571E-03,393.712494
+1.442500E+00,+3.663693E-03,393.728394
+1.442500E+00,+3.663742E-03,393.723145
+1.442500E+00,+3.663712E-03,393.726379
+1.442500E+00,+3.663678E-03,393.730011
+1.442500E+00,+3.663660E-03,393.731934
+1.443000E+00,+3.664976E-03,393.726990
+1.443000E+00,+3.665011E-03,393.723236
+1.443000E+00,+3.665070E-03,393.716888
+1.443000E+00,+3.665002E-03,393.724182
+1.443000E+00,+3.664925E-03,393.732452
+1.443500E+00,+3.666315E-03,393.719604
+1.443500E+00,+3.666206E-03,393.731293
+1.443500E+00,+3.666257E-03,393.725830
+1.443500E+00,+3.666294E-03,393.721832
+1.443500E+00,+3.666150E-03,393.737305
+1.444000E+00,+3.667336E-03,393.746307
+1.444000E+00,+3.667390E-03,393.740509
+1.444000E+00,+3.667284E-03,393.751892
+1.444000E+00,+3.667372E-03,393.742432
+1.444000E+00,+3.667400E-03,393.739441
+1.444500E+00,+3.668644E-03,393.742188
+1.444500E+00,+3.668571E-03,393.750061
+1.444500E+00,+3.668541E-03,393.753235
+1.444500E+00,+3.668500E-03,393.757660
+1.444500E+00,+3.668497E-03,393.757965
+1.444500E+00,+3.668539E-03,393.753479
+1.444500E+00,+3.668542E-03,393.753143
+1.444500E+00,+3.668479E-03,393.759918
+1.444500E+00,+3.668533E-03,393.754120
+1.444500E+00,+3.668576E-03,393.749512
+1.444500E+00,+3.668532E-03,393.754211
+1.444500E+00,+3.668604E-03,393.746490
+1.444500E+00,+3.668658E-03,393.740692
+1.444500E+00,+3.668566E-03,393.750580
+1.444500E+00,+3.668550E-03,393.752289
+1.445000E+00,+3.669757E-03,393.759064
+1.445000E+00,+3.669650E-03,393.770538
+1.445000E+00,+3.669675E-03,393.767853
+1.445000E+00,+3.669589E-03,393.777069
+1.445000E+00,+3.669596E-03,393.776337
+1.445500E+00,+3.670940E-03,393.768372
+1.445500E+00,+3.670930E-03,393.769440
+1.445500E+00,+3.670821E-03,393.781128
+1.445500E+00,+3.670780E-03,393.785522
+1.445500E+00,+3.670723E-03,393.791656
+1.445500E+00,+3.670708E-03,393.793243
+1.445500E+00,+3.670710E-03,393.793030
+1.445500E+00,+3.670706E-03,393.793457
+1.445500E+00,+3.670779E-03,393.785614
+1.445500E+00,+3.670722E-03,393.791748
+1.445500E+00,+3.670754E-03,393.788330
+1.445500E+00,+3.670779E-03,393.785614
+1.445500E+00,+3.670834E-03,393.779724
+1.445500E+00,+3.670780E-03,393.785522
+1.445500E+00,+3.670644E-03,393.800110
+1.446000E+00,+3.671864E-03,393.805420
+1.446000E+00,+3.671917E-03,393.799744
+1.446000E+00,+3.671909E-03,393.800598
+1.446000E+00,+3.671960E-03,393.795135
+1.446000E+00,+3.671872E-03,393.804565
+1.446500E+00,+3.673138E-03,393.804932
+1.446500E+00,+3.673129E-03,393.805908
+1.446500E+00,+3.673160E-03,393.802612
