DELAY (SEC) 0.000 ; RAMP (V) 0.0005 ; MAX VOLT (V) 3.00 ; RAMP RESISTANCE TOLERANCE (low R) (float %) 0.030 ; RAMP RESISTANCE TOLERANCE (low-med R) (float %) 0.040 ; RAMP RESISTANCE TOLERANCE (med-high R) (float %) 0.060 ; RAMP RESISTANCE TOLERANCE (high R) (float %) 10000000.000 ; TARGET RESISTANCE (Ohms) 1000.000000000 ; TARGET RESISTANCE TOLERANCE (float %) 0.001 ; RAMP DOWN (V) 0.200 ; NUM CONSEC HITS (low R) 3 ; NUM CONSEC HITS (low-med R) 4 ;  NUM CONSEC HITS (med-high R) 6 ; NUM CONSEC HITS (high R) 100000 ; NUM CONSEC NDR (low R) 3 ; NUM CONSEC HITS (low-med R) 4 ; NUM CONSEC HITS (med-high R) 6 ; NUM CONSEC NDR (high R) 10000000 ; LOW/LOW-MED SWITCH RESISTANCE (ohms) 75.000000000 ; LOW-MED/MED-HIGH SWITCH RESISTANCE (ohms) 200.000000000 ; MED-HIGH/HIGH SWITCH RESISTANCE (ohms) 400.000000000 ;  INTEGRATION TIME (PLC) 1 ; RAMPDOWN DWELL (msec/mV) 0001 ; TEMPERATURE (K) 298.0000 
 voltage,current,resistance 
+5.000000E-01,+1.133024E-03,441.296936
+5.000000E-01,+1.133015E-03,441.300415
+5.000000E-01,+1.132964E-03,441.320282
+5.000000E-01,+1.132914E-03,441.339783
+5.000000E-01,+1.132944E-03,441.328064
+5.005000E-01,+1.133958E-03,441.374390
+5.005000E-01,+1.133972E-03,441.368958
+5.005000E-01,+1.133938E-03,441.382202
+5.005000E-01,+1.133943E-03,441.380249
+5.005000E-01,+1.133983E-03,441.364655
+5.010000E-01,+1.135098E-03,441.371552
+5.010000E-01,+1.135016E-03,441.403473
+5.010000E-01,+1.134981E-03,441.417053
+5.010000E-01,+1.135072E-03,441.381683
+5.010000E-01,+1.135028E-03,441.398804
+5.015000E-01,+1.136247E-03,441.365265
+5.015000E-01,+1.136242E-03,441.367218
+5.015000E-01,+1.136162E-03,441.398285
+5.015000E-01,+1.136187E-03,441.388580
+5.015000E-01,+1.136071E-03,441.433624
+5.020000E-01,+1.137069E-03,441.485962
+5.020000E-01,+1.137064E-03,441.487885
+5.020000E-01,+1.137099E-03,441.474304
+5.020000E-01,+1.137094E-03,441.476227
+5.020000E-01,+1.137095E-03,441.475830
+5.025000E-01,+1.138238E-03,441.471863
+5.025000E-01,+1.138188E-03,441.491272
+5.025000E-01,+1.138072E-03,441.536255
+5.025000E-01,+1.138184E-03,441.492828
+5.025000E-01,+1.138219E-03,441.479218
+5.030000E-01,+1.139294E-03,441.501495
+5.030000E-01,+1.139237E-03,441.523621
+5.030000E-01,+1.139329E-03,441.487915
+5.030000E-01,+1.139258E-03,441.515442
+5.030000E-01,+1.139196E-03,441.539490
+5.035000E-01,+1.140296E-03,441.552002
+5.035000E-01,+1.140371E-03,441.522980
+5.035000E-01,+1.140301E-03,441.550079
+5.035000E-01,+1.140493E-03,441.475739
+5.035000E-01,+1.140503E-03,441.471863
+5.040000E-01,+1.141683E-03,441.453552
+5.040000E-01,+1.141692E-03,441.450043
+5.040000E-01,+1.141712E-03,441.442352
+5.040000E-01,+1.141723E-03,441.438080
+5.040000E-01,+1.141662E-03,441.461670
+5.045000E-01,+1.142762E-03,441.474274
+5.045000E-01,+1.142711E-03,441.493958
+5.045000E-01,+1.142672E-03,441.509033
+5.045000E-01,+1.142742E-03,441.481995
+5.045000E-01,+1.142711E-03,441.493958
+5.050000E-01,+1.143745E-03,441.531982
+5.050000E-01,+1.143836E-03,441.496887
