DELAY (SEC) 0.000 ; RAMP (V) 0.0005 ; MAX VOLT (V) 3.00 ; RAMP RESISTANCE TOLERANCE (low R) (float %) 0.030 ; RAMP RESISTANCE TOLERANCE (low-med R) (float %) 0.040 ; RAMP RESISTANCE TOLERANCE (med-high R) (float %) 0.060 ; RAMP RESISTANCE TOLERANCE (high R) (float %) 10000000.000 ; TARGET RESISTANCE (Ohms) 1000.000000000 ; TARGET RESISTANCE TOLERANCE (float %) 0.001 ; RAMP DOWN (V) 0.200 ; NUM CONSEC HITS (low R) 3 ; NUM CONSEC HITS (low-med R) 4 ;  NUM CONSEC HITS (med-high R) 6 ; NUM CONSEC HITS (high R) 100000 ; NUM CONSEC NDR (low R) 3 ; NUM CONSEC HITS (low-med R) 4 ; NUM CONSEC HITS (med-high R) 6 ; NUM CONSEC NDR (high R) 10000000 ; LOW/LOW-MED SWITCH RESISTANCE (ohms) 75.000000000 ; LOW-MED/MED-HIGH SWITCH RESISTANCE (ohms) 200.000000000 ; MED-HIGH/HIGH SWITCH RESISTANCE (ohms) 400.000000000 ;  INTEGRATION TIME (PLC) 1 ; RAMPDOWN DWELL (msec/mV) 0001 ; TEMPERATURE (K) 298.0000 
 voltage,current,resistance 
+4.000000E-01,+9.581300E-04,417.479889
+4.000000E-01,+9.581249E-04,417.482117
+4.000000E-01,+9.581100E-04,417.488617
+4.000000E-01,+9.580650E-04,417.508209
+4.000000E-01,+9.580439E-04,417.517395
+4.005000E-01,+9.592089E-04,417.531586
+4.005000E-01,+9.592289E-04,417.522858
+4.005000E-01,+9.591031E-04,417.577637
+4.005000E-01,+9.590889E-04,417.583801
+4.005000E-01,+9.591681E-04,417.549347
+4.010000E-01,+9.603485E-04,417.556732
+4.010000E-01,+9.602479E-04,417.600494
+4.010000E-01,+9.602275E-04,417.609344
+4.010000E-01,+9.603034E-04,417.576355
+4.010000E-01,+9.602479E-04,417.600494
+4.015000E-01,+9.614481E-04,417.599213
+4.015000E-01,+9.614328E-04,417.605865
+4.015000E-01,+9.615743E-04,417.544403
+4.015000E-01,+9.615891E-04,417.537994
+4.015000E-01,+9.615086E-04,417.572968
+4.020000E-01,+9.626473E-04,417.598419
+4.020000E-01,+9.626985E-04,417.576233
+4.020000E-01,+9.627491E-04,417.554260
+4.020000E-01,+9.626329E-04,417.604706
+4.020000E-01,+9.626631E-04,417.591583
+4.025000E-01,+9.637572E-04,417.636292
+4.025000E-01,+9.638489E-04,417.596588
+4.025000E-01,+9.638134E-04,417.611969
+4.025000E-01,+9.638183E-04,417.609833
+4.025000E-01,+9.638383E-04,417.601166
+4.030000E-01,+9.649628E-04,417.632660
+4.030000E-01,+9.650431E-04,417.597931
+4.030000E-01,+9.649776E-04,417.626282
+4.030000E-01,+9.649725E-04,417.628479
+4.030000E-01,+9.650087E-04,417.612823
+4.035000E-01,+9.661528E-04,417.635773
+4.035000E-01,+9.661579E-04,417.633606
+4.035000E-01,+9.661327E-04,417.644501
+4.035000E-01,+9.661421E-04,417.640411
+4.035000E-01,+9.661079E-04,417.655212
+4.040000E-01,+9.673269E-04,417.645782
+4.040000E-01,+9.673116E-04,417.652405
+4.040000E-01,+9.673377E-04,417.641144
+4.040000E-01,+9.673532E-04,417.634460
+4.040000E-01,+9.673576E-04,417.632538
+4.045000E-01,+9.684873E-04,417.661652
+4.045000E-01,+9.684923E-04,417.659485
+4.045000E-01,+9.684880E-04,417.661346
+4.045000E-01,+9.684467E-04,417.679169
+4.045000E-01,+9.685327E-04,417.642090
+4.050000E-01,+9.696272E-04,417.686310
+4.050000E-01,+9.695961E-04,417.699707
+4.050000E-01,+9.696165E-04,417.690918
+4.050000E-01,+9.695967E-04,417.699463
+4.050000E-01,+9.695963E-04,417.699615
+4.055000E-01,+9.707309E-04,417.726471
+4.055000E-01,+9.707857E-04,417.702911
+4.055000E-01,+9.707713E-04,417.709076
+4.055000E-01,+9.707919E-04,417.700226
+4.055000E-01,+9.707913E-04,417.700470
+4.060000E-01,+9.719662E-04,417.709991
+4.060000E-01,+9.720172E-04,417.688080
+4.060000E-01,+9.720370E-04,417.679565
+4.060000E-01,+9.720118E-04,417.690369
+4.060000E-01,+9.719516E-04,417.716278
+4.065000E-01,+9.732171E-04,417.686890
+4.065000E-01,+9.732373E-04,417.678223
+4.065000E-01,+9.732522E-04,417.671814
+4.065000E-01,+9.732881E-04,417.656403
+4.065000E-01,+9.731817E-04,417.702087
+4.070000E-01,+9.743314E-04,417.722351
+4.070000E-01,+9.743212E-04,417.726715
+4.070000E-01,+9.743408E-04,417.718323
+4.070000E-01,+9.743563E-04,417.711670
+4.070000E-01,+9.743717E-04,417.705078
+4.075000E-01,+9.755059E-04,417.731964
+4.075000E-01,+9.755007E-04,417.734192
+4.075000E-01,+9.755066E-04,417.731659
+4.075000E-01,+9.755262E-04,417.723297
+4.075000E-01,+9.755314E-04,417.721039
+4.080000E-01,+9.767265E-04,417.721832
+4.080000E-01,+9.767062E-04,417.730530
+4.080000E-01,+9.766913E-04,417.736908
+4.080000E-01,+9.767419E-04,417.715271
+4.080000E-01,+9.766960E-04,417.734863
+4.085000E-01,+9.778360E-04,417.759216
+4.085000E-01,+9.778814E-04,417.739807
+4.085000E-01,+9.777902E-04,417.778748
+4.085000E-01,+9.778962E-04,417.733490
+4.085000E-01,+9.778257E-04,417.763580
+4.090000E-01,+9.790452E-04,417.753967
+4.090000E-01,+9.791366E-04,417.714996
+4.090000E-01,+9.791220E-04,417.721191
+4.090000E-01,+9.791167E-04,417.723480
+4.090000E-01,+9.790965E-04,417.732056
+4.095000E-01,+9.802260E-04,417.760803
+4.095000E-01,+9.802565E-04,417.747803
+4.095000E-01,+9.802969E-04,417.730591
+4.095000E-01,+9.802913E-04,417.732971
+4.095000E-01,+9.803328E-04,417.715271
+4.100000E-01,+9.815269E-04,417.716522
+4.100000E-01,+9.814663E-04,417.742310
+4.100000E-01,+9.814319E-04,417.756927
+4.100000E-01,+9.814111E-04,417.765808
+4.100000E-01,+9.814315E-04,417.757141
+4.100000E-01,+9.814869E-04,417.733551
+4.100000E-01,+9.814817E-04,417.735718
+4.100000E-01,+9.814920E-04,417.731384
+4.100000E-01,+9.815166E-04,417.720917
+4.100000E-01,+9.814710E-04,417.740295
+4.100000E-01,+9.814715E-04,417.740082
+4.100000E-01,+9.815124E-04,417.722717
+4.100000E-01,+9.815225E-04,417.718384
+4.100000E-01,+9.814568E-04,417.746338
+4.100000E-01,+9.814559E-04,417.746735
+4.105000E-01,+9.826666E-04,417.740845
+4.105000E-01,+9.826414E-04,417.751587
+4.105000E-01,+9.826571E-04,417.744904
+4.105000E-01,+9.825754E-04,417.779663
+4.105000E-01,+9.826210E-04,417.760254
+4.110000E-01,+9.837758E-04,417.778107
+4.110000E-01,+9.837567E-04,417.786224
+4.110000E-01,+9.837655E-04,417.782532
+4.110000E-01,+9.837365E-04,417.794830
+4.110000E-01,+9.836905E-04,417.814362
+4.115000E-01,+9.849764E-04,417.776520
+4.115000E-01,+9.849812E-04,417.774475
+4.115000E-01,+9.849760E-04,417.776703
+4.115000E-01,+9.849864E-04,417.772247
+4.115000E-01,+9.849764E-04,417.776520
+4.120000E-01,+9.861155E-04,417.800934
+4.120000E-01,+9.861562E-04,417.783722
+4.120000E-01,+9.860856E-04,417.813629
+4.120000E-01,+9.860394E-04,417.833191
+4.120000E-01,+9.861256E-04,417.796692
+4.125000E-01,+9.872136E-04,417.842712
+4.125000E-01,+9.872899E-04,417.810394
+4.125000E-01,+9.872803E-04,417.814484
+4.125000E-01,+9.872813E-04,417.814026
+4.125000E-01,+9.872754E-04,417.816559
+4.130000E-01,+9.884209E-04,417.838165
+4.130000E-01,+9.883886E-04,417.851868
+4.130000E-01,+9.884300E-04,417.834320
+4.130000E-01,+9.884199E-04,417.838623
+4.130000E-01,+9.884455E-04,417.827789
+4.135000E-01,+9.896517E-04,417.823792
+4.135000E-01,+9.896356E-04,417.830566
+4.135000E-01,+9.895649E-04,417.860413
+4.135000E-01,+9.895802E-04,417.853973
+4.135000E-01,+9.895737E-04,417.856720
+4.140000E-01,+9.908510E-04,417.822693
+4.140000E-01,+9.907742E-04,417.855042
+4.140000E-01,+9.907840E-04,417.850922
+4.140000E-01,+9.908407E-04,417.826996
+4.140000E-01,+9.908207E-04,417.835449
+4.145000E-01,+9.919851E-04,417.849030
+4.145000E-01,+9.920398E-04,417.825989
+4.145000E-01,+9.920252E-04,417.832092
+4.145000E-01,+9.919790E-04,417.851563
+4.145000E-01,+9.920307E-04,417.829803
+4.150000E-01,+9.931953E-04,417.843262
+4.150000E-01,+9.932003E-04,417.841156
+4.150000E-01,+9.931698E-04,417.854004
+4.150000E-01,+9.931799E-04,417.849792
+4.150000E-01,+9.931751E-04,417.851807
+4.155000E-01,+9.943091E-04,417.878082
+4.155000E-01,+9.943094E-04,417.877960
+4.155000E-01,+9.943955E-04,417.841797
+4.155000E-01,+9.942849E-04,417.888275
+4.155000E-01,+9.942588E-04,417.899231
+4.160000E-01,+9.954748E-04,417.891083
+4.160000E-01,+9.954039E-04,417.920837
+4.160000E-01,+9.954643E-04,417.895477
+4.160000E-01,+9.954589E-04,417.897705
+4.160000E-01,+9.954744E-04,417.891205
+4.165000E-01,+9.967057E-04,417.876587
+4.165000E-01,+9.966999E-04,417.879028
+4.165000E-01,+9.966639E-04,417.894135
+4.165000E-01,+9.967146E-04,417.872894
+4.165000E-01,+9.967246E-04,417.868683
+4.170000E-01,+9.979103E-04,417.873230
+4.170000E-01,+9.978948E-04,417.879730
+4.170000E-01,+9.978344E-04,417.905029
+4.170000E-01,+9.978695E-04,417.890289
+4.170000E-01,+9.978389E-04,417.903107
+4.175000E-01,+9.990546E-04,417.895050
+4.175000E-01,+9.990089E-04,417.914185
+4.175000E-01,+9.990487E-04,417.897522
+4.175000E-01,+9.990591E-04,417.893188
+4.175000E-01,+9.990588E-04,417.893311
+4.180000E-01,+1.000239E-03,417.900116
+4.180000E-01,+1.000220E-03,417.908081
+4.180000E-01,+1.000255E-03,417.893463
+4.180000E-01,+1.000310E-03,417.870483
+4.180000E-01,+1.000335E-03,417.860046
+4.185000E-01,+1.001435E-03,417.900330
+4.185000E-01,+1.001460E-03,417.889893
+4.185000E-01,+1.001389E-03,417.919525
+4.185000E-01,+1.001409E-03,417.911163
+4.185000E-01,+1.001404E-03,417.913239
+4.190000E-01,+1.002610E-03,417.909271
+4.190000E-01,+1.002696E-03,417.873413
+4.190000E-01,+1.002650E-03,417.892578
+4.190000E-01,+1.002685E-03,417.877991
+4.190000E-01,+1.002655E-03,417.890503
+4.195000E-01,+1.003875E-03,417.880676
+4.195000E-01,+1.003859E-03,417.887360
+4.195000E-01,+1.003885E-03,417.876556
+4.195000E-01,+1.003860E-03,417.886932
+4.195000E-01,+1.003774E-03,417.922760
+4.200000E-01,+1.004978E-03,417.919586
+4.200000E-01,+1.004958E-03,417.927917
+4.200000E-01,+1.004918E-03,417.944519
+4.200000E-01,+1.005034E-03,417.896301
+4.200000E-01,+1.004984E-03,417.917084
+4.205000E-01,+1.006128E-03,417.938873
+4.205000E-01,+1.006154E-03,417.928070
+4.205000E-01,+1.006195E-03,417.911072
+4.205000E-01,+1.006230E-03,417.896515
+4.205000E-01,+1.006184E-03,417.915619
+4.210000E-01,+1.007329E-03,417.936951
+4.210000E-01,+1.007263E-03,417.964355
+4.210000E-01,+1.007252E-03,417.968872
+4.210000E-01,+1.007324E-03,417.939026
+4.210000E-01,+1.007359E-03,417.924500
+4.215000E-01,+1.008589E-03,417.910553
+4.215000E-01,+1.008671E-03,417.876587
+4.215000E-01,+1.008604E-03,417.904358
+4.215000E-01,+1.008575E-03,417.916382
+4.215000E-01,+1.008600E-03,417.906006
+4.220000E-01,+1.009836E-03,417.889648
