volt,curr,res,time,rj,smrj,rate,power
0.5265,0.001244118,423.191406,7648,0.0,-0.017122808180980248,0.000648036435198216,-2.6368163072212134e-08
0.5265,0.001244153,423.179504,7649,-0.011901999999963664,-0.01668285442290619,0.0006477806519584291,-2.568977109691809e-08
0.5265,0.001244118,423.191406,7650,0.0,-0.016242908692579897,0.0006475251598165542,-2.5011384289291862e-08
0.5265,0.001244183,423.16928099999996,7651,-0.022125000000016826,-0.01580297119299821,0.0006472699587725913,-2.43330027163451e-08
0.5265,0.001244142,423.183258,7652,-0.008147999999948752,-0.015363042145126432,0.0006470150488265402,-2.365462644396358e-08
0.5265,0.001244118,423.191406,7653,0.0,-0.014923121762100847,0.0006467604299784009,-2.2976255536948206e-08
0.5265,0.001244128,423.18801900000005,7654,-0.0033869999999183165,-0.014483210276844466,0.0006465061022281738,-2.229789005904946e-08
0.5265,0.001244158,423.177795,7655,-0.013610999999968953,-0.01404330795298316,0.0006462520655758583,-2.1619530073037262e-08
0.5265,0.001244219,423.157043,7656,-0.03436299999998482,-0.013603415082540291,0.0006459983200214547,-2.094117564070049e-08
0.5265,0.0012441730000000001,423.172699,7657,-0.018706999999949403,-0.013163531960234343,0.0006457448655649632,-2.026282682290926e-08
0.5265,0.0012440980000000001,423.198242,7658,0.0068360000000211585,-0.012723658852064682,0.0006454917022063835,-1.9584483679596272e-08
0.5265,0.001244172,423.17303499999997,7659,-0.018371000000001914,-0.012283796005805704,0.0006452388299457157,-1.890614626983309e-08
0.5265,0.001244067,423.208771,7660,0.01736500000004071,-0.011843943673858834,0.0006449862487829598,-1.8227814651867788e-08
0.5265,0.001244118,423.191406,7661,0.0,-0.011404102095818457,0.0006447339587181159,-1.754948888316967e-08
0.5265,0.001244153,423.179504,7662,-0.011901999999963664,-0.01096427151453258,0.0006444819597511838,-1.6871169020479262e-08
0.5265,0.0012441989999999999,423.163849,7663,-0.027556999999944765,-0.01052445219509019,0.0006442302518821636,-1.6192855119823903e-08
0.5265,0.001244178,423.17099,7664,-0.020415999999954693,-0.010084644399604891,0.0006439788351110553,-1.5514547236552762e-08
0.5265,0.0012440910000000001,423.200592,7665,0.009185999999999694,-0.009644848352572432,0.0006437277094378589,-1.483624542532984e-08
0.5265,0.001244158,423.177795,7666,-0.013610999999968953,-0.009205064247520605,0.0006434768748625745,-1.4157949740198887e-08
0.5265,0.001244183,423.16928099999996,7667,-0.022125000000016826,-0.008765292281633313,0.0006432263313852018,-1.3479660234620877e-08
0.5265,0.001244123,423.189728,7668,-0.0016779999999698703,-0.008325532635925231,0.000642976079005741,-1.2801376961498539e-08
0.5265,0.001244072,423.207062,7669,0.01565600000003542,-0.007885785461937734,0.0006427261177241923,-1.2123099973193317e-08
0.5265,0.001244102,423.196838,7670,0.005432000000041626,-0.007446050921624035,0.0006424764475405555,-1.144482932158176e-08
0.5265,0.001244036,423.21929900000003,7671,0.027893000000062784,-0.007006329190401319,0.0006422270684548304,-1.0766565058095083e-08
0.5265,0.001244102,423.196838,7672,0.005432000000041626,-0.006566620465840935,0.0006419779804670173,-1.0088307233733492e-08
0.5265,0.001244154,423.17916900000006,7673,-0.012236999999913678,-0.00612692495752075,0.0006417291835771161,-9.410055899122432e-09
0.5265,0.001244143,423.182892,7674,-0.008513999999991029,-0.005687242892455448,0.000641480677785127,-8.731811104520475e-09
0.5265,0.0012441519999999999,423.17984,7675,-0.011565999999959331,-0.005247574484677289,0.0006412324630910495,-8.053572899831646e-09
0.5265,0.001244183,423.16928099999996,7676,-0.022125000000016826,-0.0048079199326904725,0.000640984539494884,-7.375341334642071e-09
0.5265,0.0012440980000000001,423.198242,7677,0.0068360000000211585,-0.00436827940809191,0.0006407369069966304,-6.697116458242601e-09
0.5265,0.0012441169999999999,423.191742,7678,0.00033600000000433283,-0.003928653052040692,0.0006404895655962887,-6.018898319653604e-09
0.5265,0.0012440980000000001,423.198242,7679,0.0068360000000211585,-0.0034890410214061434,0.0006402425152938591,-5.340686967662231e-09
0.5265,0.001244128,423.18801900000005,7680,-0.0033869999999183165,-0.0030494434955419393,0.0006399957560893411,-4.66248245084663e-09
0.5265,0.0012440160000000001,423.22610499999996,7681,0.034698999999989155,-0.0026098606773857363,0.000639749287982735,-3.984284817605288e-09
0.5265,0.001244078,423.204987,7682,0.013581000000044696,-0.0021702927755946765,0.0006395031109740409,-3.306094116184504e-09
0.5265,0.001244153,423.179504,7683,-0.011901999999963664,-0.0017307400045533164,0.0006392572250632588,-2.6279103947007563e-09
0.5265,0.001244174,423.17236299999996,7684,-0.01904300000001058,-0.001291202590078307,0.0006390116302503885,-1.9497337011746717e-09
0.5265,0.001244107,423.195129,7685,0.003723000000036336,-0.0008516807285194099,0.0006387663265354301,-1.2715640835386823e-09
0.5265,0.001244193,423.165924,7686,-0.02548199999995404,-0.0004121745819353416,0.0006385213139183837,-5.934015896698257e-10
0.5265,0.001244122,423.190033,7687,-0.0013729999999441134,2.7315686960384328e-05,0.0006382765923992491,8.475373258748881e-11
0.5265,0.001244017,423.225739,7688,0.03433300000000372,0.00046678992996080824,0.0006380321619780262,7.629018353989726e-10
0.5265,0.001244077,423.205353,7689,0.01394700000003013,0.0009062480063665345,0.0006377880226547156,1.4410426709155451e-09
0.5265,0.001244047,423.215576,7690,0.024170000000026448,0.0013456897708741895,0.0006375441744293167,2.119176191250777e-09
0.5265,0.001244123,423.189728,7691,-0.0016779999999698703,0.0017851150575342214,0.0006373006173018296,2.797302348458635e-09
